name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,grb_luminosity_cgs,time_years
ZTF18acqxyiq,58437.839,ZTF18acqxyiq_VLASS2.2,59563.0,VLASS2.2,0.355,0.121,1125.161,SN IIb,0.03849,upper_limit,1.3083436485682133e+28,1.117595775842143e+27,3.0826328767123288
ZTF18acrcyqw,58440.829,ZTF18acrcyqw_VLASS1.2v2,58612.0,VLASS1.2v,0.409,0.132,171.1710000000021,SN IIb,0.04,upper_limit,1.6315093114574883e+28,4.083681509162546e+25,0.46896164383562217
ZTF18acrcyqw,58440.829,ZTF18acrcyqw_VLASS2.2,59537.0,VLASS2.2,0.3,0.09,1096.171000000002,SN IIb,0.04,upper_limit,1.1967060964235855e+28,1.0714651766365891e+27,3.003208219178088
ZTF18acsjrbc,58455.859,ZTF18acsjrbc_VLASS1.2v2,58617.0,VLASS1.2v,0.242,0.129,161.14099999999598,SN Ic,0.03693,upper_limit,8.191989759078325e+27,3.624864813650497e+25,0.44148219178081094
ZTF18acsjrbc,58455.859,ZTF18acsjrbc_VLASS2.2,59531.0,VLASS2.2,0.324,0.118,1075.140999999996,SN Ic,0.03693,upper_limit,1.096778794190652e+28,1.0341368414653214e+27,2.945591780821907
ZTF18acxgoki,58465.509,ZTF18acxgoki_VLASS1.2v2,58594.0,VLASS1.2v,0.466,0.125,128.4910000000018,SN Ic-BL,0.04,upper_limit,1.85888346977797e+28,2.236728118052178e+25,0.3520301369863063
ZTF18acxgoki,58465.509,ZTF18acxgoki_VLASS2.2,59570.0,VLASS2.2,0.357,0.127,1104.4910000000018,SN Ic-BL,0.04,upper_limit,1.424080254744067e+28,1.0848661884022651e+27,3.0260027397260325
ZTF18aczcumi,58470.819,ZTF18aczcumi_VLASS2.1,59133.0,VLASS2.1,0.559,0.181,662.1809999999969,SN Ib,0.031,upper_limit,1.3218927106180136e+28,4.542905979232424e+26,1.8141945205479366
ZTF18aczcumi,58470.819,ZTF18aczcumi_VLASS3.1,59960.0,VLASS3.1,0.774,0.3,1489.1809999999969,SN Ib,0.031,upper_limit,1.8303129839326343e+28,1.8104248615629507e+27,4.079947945205471
ZTF18aczqzrj,58476.849,ZTF18aczqzrj_VLASS1.2v2,58547.0,VLASS1.2v,0.262,0.125,70.15099999999802,SN Ic,0.0429,upper_limit,1.2071968349879847e+28,2.6688791867403846e+24,0.19219452054793978
