name,visual_obs_date,name_epoch,vlass_obs_date,epoch,flux,rms,days_diff,type,redshift,detection_type,luminosity_cgs,grb_luminosity_cgs,time_years
ZTF18abrzbum,58350.889,ZTF18abrzbum_VLASS1.2v2,58612.0,VLASS1.2v,0.27,0.113,261.11099999999715,SN II,0.0183,upper_limit,2.1836088807407073e+27,1.413670694215196e+27,0.7153726027397183
ZTF18absbgqd,58369.599,ZTF18absbgqd_VLASS2.1,59084.0,VLASS2.1,0.348,0.151,714.400999999998,SN II,0.03,upper_limit,7.695669437079184e+27,5.589649831511073e+27,1.9572630136986247
ZTF18absclsr,58354.789,ZTF18absclsr_VLASS1.2v2,58652.0,VLASS1.2v,0.276,0.128,297.2109999999957,SN II,0.025,upper_limit,4.207438826110946e+27,1.693495464397331e+27,0.8142767123287553
ZTF18abscyji,58351.889,ZTF18abscyji_VLASS1.2v2,58627.0,VLASS1.2v,0.34,0.151,275.11099999999715,SN II,0.03,upper_limit,7.518757495996905e+27,1.525634318656895e+27,0.7537287671232799
ZTF18abscyjj,58354.889,ZTF18abscyjj_VLASS1.2v2,58606.0,VLASS1.2v,0.362,0.142,251.11099999999715,SN II,0.029,upper_limit,7.469506621847886e+27,1.3364213947230495e+27,0.6879753424657457
ZTF18abskoyh,58353.669,ZTF18abskoyh_VLASS1.2v2,58578.0,VLASS1.2v,0.376,0.136,224.3309999999983,SN II,0.025,upper_limit,5.731873183397521e+27,1.1555831577980567e+27,0.6146054794520501
ZTF18absldfl,58363.849,ZTF18absldfl_VLASS1.2v2,58580.0,VLASS1.2v,0.579,0.234,216.150999999998,SN II,0.04,upper_limit,2.30964276609752e+28,1.1011889044904864e+27,0.5921945205479398
ZTF18absldfl,58363.849,ZTF18absldfl_VLASS2.2,59506.0,VLASS2.2,0.394,0.124,1142.150999999998,SN II,0.04,upper_limit,1.5716740066363091e+28,6.77887894267887e+27,3.129180821917803
ZTF18abtrknw,58357.779,ZTF18abtrknw_VLASS2.1,59078.0,VLASS2.1,0.397,0.157,720.2209999999977,SN II,0.037,upper_limit,1.3491290609466173e+28,5.619757270548256e+27,1.973208219178076
ZTF18abtrknw,58357.779,ZTF18abtrknw_VLASS3.1,59972.0,VLASS3.1,0.36,0.126,1614.2209999999975,SN II,0.037,upper_limit,1.2233915917903833e+28,1.127935143231004e+28,4.422523287671226
ZTF18abtswjk,58387.779,ZTF18abtswjk_VLASS2.1,59118.0,VLASS2.1,0.746,0.211,730.2209999999977,SN IIn,0.0503,upper_limit,4.775688285870743e+28,5.69913493039803e+27,2.0006054794520485
ZTF18abtswjk,58387.779,ZTF18abtswjk_VLASS3.1,60010.0,VLASS3.1,0.691,0.14,1622.2209999999975,SN IIn,0.0503,detection,4.423593305008958e+28,1.1351010896018904e+28,4.444441095890404
