SN,mjd obs,flux (mJy),mjd exp date,dt (days),dt (years),redshift,Luminosity,classification,status
SN1991G,48912,0.487,IIP,48279,1.734246575,633,1.13E+26,old_rich,real
SN1991G,50705,0.069,IIP,48279,6.646575342,2426,1.60E+25,old_rich,real
SN1992H,49059,0.084,II,48663,1.084931507,396,1.24E+26,old_rich,real
SN1992H,49975,0.269,II,48663,3.594520548,1312,3.97E+26,old_rich,real
SN1992ad,49286,0.4,II,48803,1.323287671,483,2.40E+26,old_rich,real
SN1992ad,50223,0.15,II,48803,3.890410959,1420,9.01E+25,old_rich,real
SN1992bd,48926,0.081,II,48907,0.05205479452,19,2.77E+25,old_rich,real
SN1992bd,49011,0.132,II,48907,0.2849315068,104,4.51E+25,old_rich,real
SN1992bd,49023,0.141,II,48907,0.3178082192,116,4.82E+25,old_rich,real
SN1992bd,49477,0.249,II,48907,1.561643836,570,8.51E+25,old_rich,real
SN1992bd,49726,0.3,II,48907,2.243835616,819,1.03E+26,old_rich,real
SN1994P,49495,0.108,II,49372,0.3369863014,123,4.96E+25,old_rich,real
SN1994P,49562,0.061,II,49372,0.5205479452,190,2.80E+25,old_rich,real
SN1994P,49975,0.235,II,49372,1.652054795,603,1.08E+26,old_rich,real
SN1995X,49975,0.336,II,49932,0.1178082192,43,2.61E+26,old_rich,real
SN1995X,50973,0.143,II,49932,2.852054795,1041,1.11E+26,old_rich,real
SN1995X,50981,0.102,II,49932,2.873972603,1049,7.94E+25,old_rich,real
SN1995X,51834,0.177,II,49932,5.210958904,1902,1.38E+26,old_rich,real
SN1996W,50379,0.19,II,50183,0.5369863014,196,3.38E+25,old_rich,real
SN1996W,50471,0.264,II,50183,0.7890410959,288,4.70E+25,old_rich,real
SN1996W,50822,0.208,II,50183,1.750684932,639,3.70E+25,old_rich,real
SN1996an,50312,0.279,II,50233,0.2164383562,79,1.22E+26,old_rich,real
